Name,Study #,Sample #,Uploaded to server?,Paired end?,File_1_DD,File_2_DD
,PRJNA305195,SRX1465947,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/005/SRR2976525/SRR2976525_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/005/SRR2976525/SRR2976525_2.fastq.gz
,PRJNA305195,SRX1465946,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/004/SRR2976524/SRR2976524_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/004/SRR2976524/SRR2976524_2.fastq.gz
Alejandro Schmieder,PRJNA270367,SRX810712,Yes,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/002/SRR1714472/SRR1714472_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/002/SRR1714472/SRR1714472_2.fastq.gz
,PRJNA270367,SRX810711,Yes,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/001/SRR1714471/SRR1714471_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/001/SRR1714471/SRR1714471_2.fastq.gz
,PRJNA270367,SRX810710,Yes,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/000/SRR1714470/SRR1714470_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/000/SRR1714470/SRR1714470_2.fastq.gz
,PRJNA270367,SRX810709,Yes,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/009/SRR1714469/SRR1714469_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/009/SRR1714469/SRR1714469_2.fastq.gz
Alejandro Schmieder,PRJNA195909,SRX258168,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR801/SRR801688/SRR801688.fastq.gz,
,PRJNA195909,SRX258167,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR801/SRR801687/SRR801687.fastq.gz,
,PRJNA195909,SRX258166,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR801/SRR801685/SRR801685.fastq.gz,
,PRJNA195909,SRX258165,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR801/SRR801684/SRR801684.fastq.gz,
,PRJNA195909,SRX258164,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR801/SRR801683/SRR801683.fastq.gz,
,PRJNA195909,SRX258163,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR801/SRR801682/SRR801682.fastq.gz,
,PRJNA195909,SRX258162,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR801/SRR801681/SRR801681.fastq.gz,
,PRJNA195909,SRX258161,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR801/SRR801680/SRR801680.fastq.gz,
,PRJNA195909,SRX258160,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR801/SRR801679/SRR801679.fastq.gz,
Alejandro Schmieder,PRJNA257195,SRX667856,Yes,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/001/SRR1534351/SRR1534351_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/001/SRR1534351/SRR1534351_2.fastq.gz
,PRJNA257195,SRX667855,Yes,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/000/SRR1534350/SRR1534350_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/000/SRR1534350/SRR1534350_2.fastq.gz
,PRJNA257195,SRX667854,Yes,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/009/SRR1534349/SRR1534349_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/009/SRR1534349/SRR1534349_2.fastq.gz
Nathan Yeung,PRJNA229539,SRR1035984,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/004/SRR1035984/SRR1035984.fastq.gz,
,PRJNA229539,SRR1035983,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/003/SRR1035983/SRR1035983.fastq.gz,
,PRJNA229539,SRR1035982,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/002/SRR1035982/SRR1035982.fastq.gz,
,PRJNA229539,SRR1035981,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/001/SRR1035981/SRR1035981.fastq.gz,
,PRJNA229539,SRR1035980,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/000/SRR1035980/SRR1035980.fastq.gz,
,PRJNA229539,SRR1035979,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/009/SRR1035979/SRR1035979.fastq.gz,
,PRJNA229539,SRR1035978,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/008/SRR1035978/SRR1035978.fastq.gz,
Natalie VanderNoot,PRJNA438111,GSM3039484,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/001/SRR6829411/SRR6829411_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/001/SRR6829411/SRR6829411_2.fastq.gz
,PRJNA438111,GSM3039485,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6829412/SRR6829412_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6829412/SRR6829412_2.fastq.gz
,PRJNA438111,GSM3039486,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/003/SRR6829413/SRR6829413_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/003/SRR6829413/SRR6829413_2.fastq.gz
,PRJNA438111,GSM3039487,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6829414/SRR6829414_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6829414/SRR6829414_2.fastq.gz
,PRJNA438111,GSM3039488,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6829415/SRR6829415_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6829415/SRR6829415_2.fastq.gz
,PRJNA438111,GSM3039489,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6829416/SRR6829416_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6829416/SRR6829416_2.fastq.gz
Nathan Yeung,PRJNA408129,SRR6054093,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR605/003/SRR6054093/SRR6054093_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR605/003/SRR6054093/SRR6054093_2.fastq.gz
,PRJNA408129,SRR6054092,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR605/002/SRR6054092/SRR6054092_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR605/002/SRR6054092/SRR6054092_2.fastq.gz
,PRJNA408129,SRR6054091,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR605/001/SRR6054091/SRR6054091_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR605/001/SRR6054091/SRR6054091_2.fastq.gz
Natalie VanderNoot,PRJNA414225,GSM2810888,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR617/005/SRR6170095/SRR6170095_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR617/005/SRR6170095/SRR6170095_2.fastq.gz
,PRJNA414225,GSM2810889,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR617/006/SRR6170096/SRR6170096_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR617/006/SRR6170096/SRR6170096_2.fastq.gz
,PRJNA414225,GSM2810890,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR617/007/SRR6170097/SRR6170097_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR617/007/SRR6170097/SRR6170097_2.fastq.gz
,PRJNA414225,GSM2810891,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR617/008/SRR6170098/SRR6170098_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR617/008/SRR6170098/SRR6170098_2.fastq.gz
,PRJNA414225,GSM2810892,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR617/009/SRR6170099/SRR6170099_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR617/009/SRR6170099/SRR6170099_2.fastq.gz
,PRJNA414225,GSM2810893,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR617/000/SRR6170100/SRR6170100_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR617/000/SRR6170100/SRR6170100_2.fastq.gz
Nathan Yeung,PRJNA318296,SRR3371422,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR337/002/SRR3371422/SRR3371422_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR337/002/SRR3371422/SRR3371422_2.fastq.gz
,PRJNA318296,SRR3371421,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR337/001/SRR3371421/SRR3371421_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR337/001/SRR3371421/SRR3371421_2.fastq.gz
,PRJNA318296,SRR3371420,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR337/000/SRR3371420/SRR3371420_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR337/000/SRR3371420/SRR3371420_2.fastq.gz
,PRJNA318296,SRR3371419,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR337/009/SRR3371419/SRR3371419_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR337/009/SRR3371419/SRR3371419_2.fastq.gz
,PRJNA318296,SRR3371418,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR337/008/SRR3371418/SRR3371418_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR337/008/SRR3371418/SRR3371418_2.fastq.gz
,PRJNA318296,SRR3371417,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR337/007/SRR3371417/SRR3371417_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR337/007/SRR3371417/SRR3371417_2.fastq.gz
Nathan Yeung,PRJNA183864,SRR633516,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR633/SRR633516/SRR633516_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR633/SRR633516/SRR633516_2.fastq.gz
,PRJNA183864,SRR633540 & SRR633541,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR633/SRR633540/SRR633540_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR633/SRR633540/SRR633540_2.fastq.gz
