"This sheet reports the previously-filtered control samples by strain (e.g., AB-type zebrafish are grouped together).",,,,,,
Name,Study #,Sample #,Uploaded to server?,Paired end?,File_1_DD,File_2_DD
,PRJEB7244,ERS626191,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830283/ERR830283_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830283/ERR830283_2.fastq.gz
,PRJEB7244,ERS626190,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830282/ERR830282_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830282/ERR830282_2.fastq.gz
,PRJEB7244,ERS626189,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830281/ERR830281_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830281/ERR830281_2.fastq.gz
,PRJEB7244,ERS626188,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830280/ERR830280_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830280/ERR830280_2.fastq.gz
,PRJEB7244,ERS626187,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830279/ERR830279_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830279/ERR830279_2.fastq.gz
,PRJEB7244,ERS626186,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830278/ERR830278_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830278/ERR830278_2.fastq.gz
,PRJEB7244,ERS626185,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830277/ERR830277_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830277/ERR830277_2.fastq.gz
,PRJEB7244,ERS626184,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830276/ERR830276_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830276/ERR830276_2.fastq.gz
,PRJEB7244,ERS626183,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830275/ERR830275_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830275/ERR830275_2.fastq.gz
,PRJEB7244,ERS626182,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830274/ERR830274_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830274/ERR830274_2.fastq.gz
,PRJNA229539,SRR1035983,,No,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/003/SRR1035983/SRR1035983.fastq.gz,
